year,title,journal,doi
2026,"Assessing Community and Protected Area Exposure to Wildfires in Navarra, Spain",Forests,https://doi.org/10.3390/f17060699
2026,"Assessing Community and Protected Area Exposure to Wildfires in Navarra, Spain",Forests,https://doi.org/10.3390/f17060699
2026,Cartografía y análisis de la Interfaz Urbano-Forestal en Chile,"Congresos UEx, actas de Congresos",https://doi.org/10.17398/3101-7177.2.133
2026,A dataset to support wildland fire and fuel management in Greece created with stochastic wildfire simulations,Data in Brief,https://doi.org/10.1016/j.dib.2025.112304
2026,Evaluating the potential of forest management in mitigating wildfire hazard under climate change,NA,https://doi.org/10.2139/ssrn.6213391
2025,Assessing human-caused wildfire ignition likelihood across Europe,Natural Hazards and Earth System Sciences,https://doi.org/10.5194/nhess-25-4713-2025
2025,Multi-threshold Wildland Urban Interface of Chile,Zenodo,https://doi.org/10.5281/zenodo.17670819
2025,"Model predictions of ""Assessing human-caused wildfire ignition likelihood across Europe""",Zenodo,https://doi.org/10.5281/zenodo.17660556
2025,DC daily future projections,Zenodo,https://doi.org/10.5281/zenodo.17492815
2025,DFMC daily future projections,Zenodo,https://doi.org/10.5281/zenodo.17492791
2025,Local FWI and components at fire sites,Zenodo,https://doi.org/10.5281/zenodo.17490876
2025,Local meteorological data at fire sites,Zenodo,https://doi.org/10.5281/zenodo.17490803
2025,Local meteorological data at fire sites,Zenodo,https://doi.org/10.5281/zenodo.17490803
2025,FWI daily future projections,Zenodo,https://doi.org/10.5281/zenodo.17474195
2025,FWI daily future projections,Zenodo,https://doi.org/10.5281/zenodo.17474195
2025,Future projections of Initial Attack,Zenodo,https://doi.org/10.5281/zenodo.17473050
2025,Future projections of Initial Attack,Zenodo,https://doi.org/10.5281/zenodo.17473050
2025,Future projections of probability of success in the initial attack,Zenodo,https://doi.org/10.5281/zenodo.17473051
2025,Future projections of human-caused ignition probability,Zenodo,https://doi.org/10.5281/zenodo.17471787
2025,Future projections of ligthning ignition probability,Zenodo,https://doi.org/10.5281/zenodo.17473459
2025,D2.7 IA brief 2.6: Designing post-fire restoration strategies,Zenodo,https://doi.org/10.5281/zenodo.15481543
2025,D2.7 IA brief 2.6: Designing post-fire restoration strategies,Zenodo,https://doi.org/10.5281/zenodo.15303899
2025,D2.7 IA brief 2.6: Designing post-fire restoration strategies,Zenodo,https://doi.org/10.5281/zenodo.15303900
2025,Modeling Human-Caused Wildfire Ignition Probability Across Europe,NA,https://doi.org/10.5194/egusphere-egu25-11004
2025,Spatial modeling of fire ignition in Chile: comparing arson and accidental fires,NA,https://doi.org/10.5194/egusphere-egu25-9110
2025,Human-caused ignition pathways under climate change scenarios in Eastern Spain,"Geomatics, Natural Hazards and Risk",https://doi.org/10.1080/19475705.2025.2472864
2025,Assessing human-caused wildfire ignition likelihood across Europe,NA,https://doi.org/10.5194/egusphere-2025-143
2025,Anticipating future extreme wildfire events by coupling ignition and success of initial attack models,NA,https://doi.org/10.5194/egusphere-egu24-8506
2025,Fire hazard trajectories under climate change and management scenarios,NA,https://doi.org/10.5194/egusphere-egu24-14891
2025,A spatially explicit containment modelling approach for escaped wildfires in a Mediterranean climate using machine learning,"Geomatics, Natural Hazards and Risk",https://doi.org/10.1080/19475705.2024.2447514
2024,Reply to: Satellite artifacts modulate FireCCILT11 global burned area,Nature Communications,https://doi.org/10.1038/s41467-024-46169-z
2024,Maximum tree height in European Mountains decreases above a climate-related elevation threshold,Communications Earth & Environment,https://doi.org/10.1038/s43247-024-01246-5
2024,Introduction to spatial statistics,CORA.Repositori de Dades de Recerca,https://doi.org/10.34810/data1784
2023,War and Deforestation: Using Remote Sensing and Machine Learning to Identify the War-Induced Deforestation in Syria 2010–2019,Land,https://doi.org/10.3390/land12081509
2023,War and Deforestation: Using Remote Sensing and Machine Learning to Identify the War-Induced Deforestation in Syria 2010–2019,Land,https://doi.org/10.3390/land12081509
2023,"On the relationship between maximum tree height, elevation and climate in European mountain ranges",NA,https://doi.org/10.21203/rs.3.rs-3062579/v1
2023,The relationship between fire severity and burning efficiency for estimating wildfire emissions in Mediterranean forests,Journal of Forestry Research,https://doi.org/10.1007/s11676-023-01599-1
2023,Modelling the daily probability of lightning-caused ignition in the Iberian Peninsula,International Journal of Wildland Fire,https://doi.org/10.1071/wf22123
2022,Spatially explicit modeling of the probability of land abandonment in the Spanish Pyrenees,Landscape and Urban Planning,https://doi.org/10.1016/j.landurbplan.2022.104487
2022,Advancing New Methods for Creating Fire-Resilient Communities in Mediterranean Areas,NA,https://doi.org/10.3390/environsciproc2022017070
2022,Advancing New Methods for Creating Fire-Resilient Communities in Mediterranean Areas,Environmental Sciences Proceedings,https://doi.org/10.3390/environsciproc2022017070
2022,High-Resolution Modeling of Lightning Ignition Likelihood in Spain,NA,https://doi.org/10.3390/environsciproc2022017040
2022,High-Resolution Modeling of Lightning Ignition Likelihood in Spain,Environmental Sciences Proceedings,https://doi.org/10.3390/environsciproc2022017040
2022,Integrating geospatial wildfire models to delineate landscape management zones and inform decision-making in Mediterranean areas,Safety Science,https://doi.org/10.1016/j.ssci.2021.105616
2022,Integrating geospatial wildfire models to delineate landscape management zones and inform decision-making in Mediterranean areas,Safety Science,https://doi.org/10.1016/j.ssci.2021.105616
2022,"Recent land cover trends in the transition region of Tiaret, Algeria",CATENA,https://doi.org/10.1016/j.catena.2021.105861
2021,Fostering Carbon Credits to Finance Wildfire Risk Reduction Forest Management in Mediterranean Landscapes,Land,https://doi.org/10.3390/land10101104
2021,Fostering Carbon Credits to Finance Wildfire Risk Reduction Forest Management in Mediterranean Landscapes,Land,https://doi.org/10.3390/land10101104
2021,LandTrendr smoothed spectral profiles enhance woody encroachment monitoring,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2021.112521
2021,Maximum height of mountain forests abruptly decreases above an elevation breakpoint,GIScience & Remote Sensing,https://doi.org/10.1080/15481603.2021.1894832
